 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ N e d2 ]  [ N f6 ]  [ h3 ]  [ B e6 ]  [ N g5 ]  [ Q d7 ]  [ N x e6 ]  [ Q x e6 ] , [ c5 ]  hah! preparing to pin his queen. This combination helps me win the game
 [ N x e5 ]  [ Q x e5 ] , [ Q f6 ]  Now is there anything good for me other than exchanging? [ R f7 ] was impossible due to [ Q x e6 ] but if I don't take well that pawn on [ h4 ] is really bad all-of-a-sudden.
 [ N f1 ] , [ e6 ]  not quite sure why black didnt play [ e5 ] here. He might have disliked the reply [ N e3 ] eyeing the weakened white squares [ c4 ] [ d5 ]  [ N g3 ]  [ e5 ] , [ h4 ]  wanting to get a kingside attack going. I wonder if piece play with [ Q b3 ] isnt objectively stronger. It is probably better to clarify the center before attacking on the kingside
 [ R g6 ] , [ B x e5 ]  If 19.[ b4 ] [ R x f6 ] 20.[ b x c5 ] [ c6 ] 21.[ Q e2 ] and black have a better position. 19.[ R x d7 ] [ N x d7 ] lead to nothing.
 [ b x c4 ]  [ b x c4 ]  [ B x c4 ] , [ B x g2 ]  I think my attack will be strong enough!
 [ e4 ]  [ B c5 ] , [ N f3 ]  I was feeling pretty good not paying much attention and basically underestimating my opponent since I was ahead. I didn't notice that he had three pieces developed to my one.
 [ Q d1 ]  [ O-O ]  [ B e2 ]  [ g5 ]  [ B g3 ]  [ a6 ]  [ a3 ]  [ b5 ]  [ b3 ]  [ R a b8 ]  [ a4 ]  [ b x c4 ]  [ b x c4 ] , [ R b2 ]  Black threatens to win the bishop or can now employ the fork at c2. White resigned. *Just as a note the last few pawn moves may have been out of order for white (playing black I remember what I did) however this was the final board position reached so they couldn't have been too terribly re-constructed.
 [ B c8 ] , [ R f3 ]  ?! I am not sure whu I made this move. It was probably because I was deluded enough to think that I would have a chance to double my rooks on the f-file and attack.
 [ f4 ] , [ O-O ]  I thought long about this one. It felt like castling into danger with white's knight rook and queen just sitting right there in striking distance. It's never a good idea to castle into danger. Never castle onto a file your opponent controls especially if you're only shielded by a poorly defended pawn and especially if your opponent has multiple pieces lurking about to assist in any attack along that file. But I couldn't see any way for white to make good on the danger and I really wanted to play 19. ... [ f6 ] to chase away the knight for good so I decided the danger was illusory and took the plunge.
 [ b5 ]  [ N f6 ] , [ b4 ]  [ B x f6 ] loses to [ e x f6 ] which will be followed by [ Q g7 ] I realised here that if I could get my [ c3 ] knight to [ f7 ] or [ g6 ] I would win blacks move here helped as I was forced to move the knight I decided to go with [ b5 ] [ d6 ] threatening the black lsb which was of course a decoy as the knight would go to [ f7 ]  [ N b5 ] , [ R x a2 ]  This was a great move for me as the only real threat to my plan was that black would see it and then R x d6. Obviously it's not too late for that
 [ K c2 ]  [ R f2 + ]  [ K b1 ]  [ R f4 ] , [ R h7 ]  ?? Instead of defending with [ b3 ] (it gave the chance to black to play checks with the R and if white tries to escape the black R will haunt the white's pawns in a and b) I wanted to play something more interesting but this was a mistake.
 [ a6 ] , [ Q b3 ]  Was eyeing [ d3 ] also for her.
 [ R c2 + ]  [ K h3 ] , [ d4 ]  ! opens the way for black bishop in [ a8 ] and defenses the other bishop
 [ h4 ] , [ N x f3 + ]  My knight was basically screwed no matter where he moved so I decided to just cut my losses and try for another pawn.
 [ c3 ]  [ R f e8 ]  [ N b3 ] , [ b6 ]  Black initiates maneuvers whose object is to reduce the mobility of the opposing pieces and deprive the Knight of operational bases.
 [ B x f6 ] , [ Q x f6 ]  Much better than recapturing with the pawn. White must be careful as black now has the two bishops and has some pressure against the white kingside.
 [ h3 ]  [ a4 ] , [ R c3 c8 ]  I can safely say that after this move White is lost as the coming endgame is hopeless. White should have tried the active defense 24 Bxh6! [ Q x d4 ] 25 [ R d3 ] Qe4. Black has an edge but White may gain some counter-play later on because of the noticeable weakening of Black’s king position.
 [ B x e6 ] , [ f x e6 ]  8. Ok I did play this out a few moves....and did not see this next move at all. (I actually got burned on this same tatic today on another game I'll need to watch for this in the future) I truly never saw this fork coming.
 [ Q c7 ] , [ e5 ]  As long as Caruana keeps Queens on the board he has nothing to worry about.
 [ K d7 ] , [ N f x d4 ]  Clearing the way for the heavy metal! White is winning.
 [ K d8 ]  [ Q x g8 ] , [ Q x b5 ]  Blinded black DOESN'T capture white's queen.
 [ N f3 ] , [ Q c3 ]  Black attacks two undefended pieces [ c2 ] and [ N f3 ] while exposing Bd6. It will be an exchange leaving black 's queen better positioned to attack white's castle.
 [ h6 ]  [ N f3 ]  [ B e7 ]  [ h3 ]  [ O-O ]  [ N c3 ]  [ Q a5 ]  [ B d2 ]  [ Q b4 ]  [ b3 ]  [ R e8 ]  [ e5 ]  [ d x e5 ]  [ N x e5 ] , [ Q b8 ]  Getting my Queen looking for the [ h2 ] square
 [ e x d5 ] , [ N f6 ]  2.......... [ N f6 ] - the old fashioned response used to be to recapture the pawn with the queen but chessplayers are not encouraged to bring their queen out too early.
 [ f4 ] , [ K f1 ]  As all Jabborg fans know Jabborg has many unique pawn openings; this particular opening 'Jabborgian Torpedoes' involves launching the front line pawns 1 by 1 in the hope of overwhelming their opponent's defences. Safeway continues his defence as expected.
 [ B d7 ] , [ B b3 ]  The most flexible move as the bishop retreat is inevitable. Another perk of this line is to de-claw one of Black's more interesting options (and a personal favorite) the Chinese Dragon with 10. .. Rb8.
 [ B x f6 ]  [ Q x f6 ] , [ e3 ]  The white is protecting his c pawn.
 [ K e7 ]  [ K e2 ]  [ N c8 ]  [ b3 ]  [ N b6 ] , [ B c4 ]  If [ N x c4 ] White has a second passed pawn.
 [ B g7 ] , [ f3 ]  and now [ f3 ] is played to prevent Ng4. 7. [ B e2 ] the Classical variation is also playable.
 [ b4 ]  [ a x b4 ]  [ a x b4 ] , [ N e7 ]  ? Now I made a mistake. I did not want to move the rook and surrender the a-file to White's Rook. So I wanted to attack the Nd5; [ c6 ] but this allows white to win the b-Pawn
 [ N g5 + ]  [ K g8 ] , [ Q h5 ]  only way to defend it is...
 [ B a7 ] , [ B d6 ]  Hoping to pin the black king in the center
 [ Q x d4 + ] , [ Q e3 ]  ? this allows black to simplify his task the pawn majority on queen's wing might became decisive
 [ e x d4 ]  [ Q x d4 ]  [ N c6 ]  [ Q d2 ]  [ g6 ]  [ b3 ]  [ B g7 ]  [ B b2 ]  [ O-O ]  [ B d3 ]  [ N g4 ]  [ N g e2 ] , [ Q h4 ]  ! Contrary to the usual "rules" of opening theory Black before completing his development makes an early attack with his Queen based on this specific position. This forces White to make an immediate decision about his position. This is where it gets wild and tactical!!
 [ d4 ]  [ N f6 ]  [ N f3 ]  [ e6 ]  [ c4 ]  [ B b4 + ]  [ B d2 ]  [ B x d2 + ]  [ Q x d2 ]  [ O-O ]  [ N c3 ]  [ d5 ]  [ e3 ]  [ b6 ]  [ c x d5 ]  [ N x d5 ]  [ B e2 ] , [ B a6 ]  Trading of black's problem bishop
 [ B c3 ]  [ Q e8 ]  [ N f4 ] , [ b5 ]  There were better moves e.g. [ d6 ] to get a little central control or [ N c6 ] to develop another piece.
 [ a3 ]  [ B a5 ] , [ b4 ]  I decide to play uber aggressive in the hope that I can get some counterplay. I can see that his wins a pawn but it gives my rook an open file so maybe...
 [ B x d7 + ] , [ N b8 x d7 ]  we traded bishops
 [ B d2 ]  [ f5 ]  [ B b4 ]  [ f x e4 ]  [ Q x e4 ] , [ d5 ]  This is a very strange move and marks the beginning of the end
 [ R x d3 ] , [ N e2 ]  heading for the [ f4 ] square. I knew that a Q and N work well together. I thought there might be something there.
 [ Q b7 ]  [ a4 ]  [ Q x f3 ] , [ N x f3 ]  24. [ N x f3 ] - and now the queens.
 [ R b5 ] , [ Q a8 + ]  Another questionable move. It doesn't accomplish anything as Black's king can move to [ h7 ] and White can't continue the attack.
 [ N x c4 ]  [ K d7 ]  [ d6 ]  [ B g5 ] , [ N b6 + ]  i want to get that pawn queened
 [ K e7 ] , [ R d5 ]  My Rook is secure on this outpost.
 [ g5 ]  [ N g6 + ]  [ K g7 ] , [ N x e7 ]  Which piece to capture? [ N x e7 ] keeps the knight in play so black still has as many threats as possible to deal with. The rook on [ h8 ] is not doing much or likely to do much so there's no sense diminishing the attacking force to remove it.
 [ c x d4 ]  [ N x c7 ]  [ B x c7 ]  [ N d3 ]  [ B b6 ]  [ R e5 ]  [ R a c8 ]  [ R x e8 + ]  [ R x e8 ]  [ R e1 ]  [ R c8 ]  [ R c1 ] , [ B f5 ]  The rest of the game is well played but with an extra piece black will manage to win
 [ e5 ]  [ Q x d4 + ] , [ K h1 ]  he must move his knight....
 [ R d4 x d3 + ]  [ c3 ]  [ R d3 d1 ] , [ Q f2 ]  If 32.[ R x d1 ] then 32...[ R x d1 + ] wins a queen for a rook.
 [ N c4 ]  [ R d5 ]  [ a3 ] , [ b5 ]  That's what I was expecting when I put the knight on c4. Now it gets relocated to e4.
 [ R x f2 ]  [ R d1 + ] , [ N e1 ]  Trebuia totusi incercat 28. T[ [ f1 ] ] [ N c5 ] 29. C[ [ e3 ] ] N[ [ e3 ] ] 30.D[ [ e3 ] ] T[ [ f1 ] ] 31.R[ [ f1 ] ] f[ [ e3 ] ] 32. Cd4.
 [ h5 ]  [ N f4 ]  [ B f7 ] , [ c4 ]  37. [ c4 ] - to try and screen out the black lsb but black can open up that diagonal with an exchange of one pair of pawns on the queenside.
 [ Q h7 ]  [ R e h8 ] , [ R x d8 ]  The truth is that I can play someting like QxR and his Q is still trapped but...
 [ N c6 ] , [ a3 ]  This is an unusual move for me but I wanted to reduce the risk of doubled pawns on c
 [ N f3 ]  [ B b4 ] , [ B d3 ]  I feel its more important to protect the pawn rather than block the pin by playing [ B d2 ] so i play [ B d3 ] instead.
 [ O-O ]  [ O-O ]  [ a3 ]  [ B f5 ]  [ R f e1 ]  [ R f e8 ]  [ R a c1 ] , [ R a c8 ]  16. ........ [ R a c8 ] - battle for control of e file and c file.
 [ N g6 ]  [ b4 ] , [ B e7 ]  Black is preparing to do just that. Now I need to activate my QN an connect my Rooks.
 [ d6 + ]  [ K e6 ]  [ B c4 + ]  [ K d7 ] , [ B x f7 ]  ? I wouldn't have done this it loses his passed pawn.
 [ B c2 ]  [ B e6 ]  [ B e4 ]  [ b5 ]  [ c x b5 ] , [ Q x b5 ]  24. ....... [ Q x b5 ] - one pair of pawns have been exchanged and I have a queenside pawn majority. This looks good for the endgame so I now try and exchange queens. This happens a few moves later on move 28.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  Typical Ruy Lopez opening
 [ R a d1 ]  [ B x e5 ]  [ R d c1 ]  [ B x c7 ]  [ R x c5 ]  [ b6 ]  [ R x c6 ]  [ R b7 ] , [ R e c1 ]  winning the Bishop after 23. ...[random move] 24. [ R x c7 ] E[ x c7 ] 25. [ R x c7 ]  [ a6 ]  [ R c6 x c7 ]  [ R x c7 ]  [ R x c7 ] , [ R d8 ]  threatening back rank mate by [ R d1 # ]  [ B e6 ]  [ R b7 ]  [ R d2 ]  [ R b8 + ]  [ K g7 ]  [ R x b6 ]  [ R x a2 ]  [ R d6 ]  [ R a5 ]  [ R d8 ]  [ B b3 ]  [ R a8 ]  [ R a3 ] , [ K h2 ]  bringing the king out at the end of the game and avoiding 33. ...[ R a1 + ]  [ R a7 ]  [ K f6 ] , [ f4 ]  taking away escape squares [ e5 ] and g5.
 [ N f3 ]  [ N c6 ]  [ d4 ]  [ e x d4 ]  [ N x d4 ] , [ B c5 ]  All standard and reasonable so far remember not just the moves in an opening their sequence too
 [ g6 ]  [ N c3 ] , [ B g7 ]  Black tries to seize the diagonal.
 [ B e2 ] , [ B x d4 + ]  Initiating a nice sequence.
 [ K d7 ]  [ R x e4 ]  [ B x d2 ] , [ R g4 ]  notice that now white is attacking! usually in this variation white is put into the defensive stance too soon due to the lack of development but in this 8.. [ N x e4 ] variation the initiative is again goes back to white.
 [ B d3 ] , [ e6 ]  without completely his development it is practically impossible for black to drive the knight away
 [ N d5 ]  [ Q d2 ]  [ N x e3 ]  [ Q x e3 ]  [ N x d4 ] , [ Q x d4 ]  IT'S YOUR TURN
 [ O-O-O ]  [ R x e6 ]  [ Q c4 ] , [ R d8 ]  prevents the fork from [ d5 ]  [ N b5 ]  [ B x d2 + ] , [ R x d2 ]  I don't like this move from white not that there was a lot better that I can see it allows [ R e1 + ]  [ R e1 + ] , [ K c2 ]  I was expecting [ R d1 ]  [ N b4 + ] , [ K b3 ]  This is probably the best of the options as [ K c3 ] loses to [ N d5 + ] [ Q x d5 ] (forced due to threat of [ K b3 ] Qxa2#) [ N x d5 ] and white is lost
 [ B x d3 ] , [ Q x d3 ]  that was sure ! but i found a response whith [ B f3 ] if he take it then i take it back whith the rook a treat the black queen
 [ N f3 ] , [ N f6 ]  A decent progression but off of book. Good intuitive play early for someone new to chess.
 [ B d3 ]  [ Q b6 ] , [ O-O ]  So your b pawn was undefended then you left your d pawn undefended with Bd3. So I fork them! Always look at what is defended or attacked for both sides.
 [ B x c6 ]  [ B x c6 ]  [ d4 ] , [ e x d4 ]  Opening the e-file.
 [ c x d4 ]  [ N x d4 ]  [ N f6 ]  [ N c3 ]  [ a6 ] , [ h3 ]  Lots of side pawn movement.
 [ Q d6 + ]  [ K g7 ] , [ K g5 ]  Black's pieces just continue to surround the king while the rooks are only onlookers who can throw in annoying checks every now and then. Black wants to continue the mating attack with [ Q h6 ] [ K f7 ] [ Q h7 ] forcing the king to the back rank. A queen and bishop is a powerful attacking combo on the open board.
 [ B x d5 ]  [ c x d5 ]  [ Q x d5 ] , [ B a6 ]  Now white has a real problem to solve- his king. Also the bishops are in contact with the white army and could attack the weaknesses. White really has no tactic chances vs black. OK black did have to sacrifice a pawn to do it but so what? White cannot promote that extra pawn. The desciption fits the typical club player who in this case is stronger than average. He likes material and highly values it so subconsciously rejected ...[ N d5 ] as being good for white since he wins a pawn. He is willing to go through these troubles since he has the pawn. In my opinion he is fighting a losing battle.
 [ B x h2 + ] , [ K h1 ]  If 10. [ K x h2 ] then 10. .... [ N g4 ] and Black wins the knight by discovered attack. This allows White to continue to threaten [ e6 ] and material gain but Black is too quick for him.
 [ a x b6 ] , [ N b5 ]  Eyeing the [ d6 ] square and the [ f7 ] pawn.
 [ e4 ]  [ c5 ]  [ N f3 ]  [ d6 ]  [ d4 ]  [ c x d4 ]  [ N x d4 ]  [ N f6 ]  [ N c3 ]  [ a6 ]  [ B e3 ]  [ e6 ]  [ f3 ]  [ b5 ]  [ a4 ]  [ b4 ]  [ N a2 ]  [ e5 ]  [ N b3 ]  [ d5 ] , [ B g5 ]  M: A possible other route would be 11. e4[ x d5 ] Nf6[ x d5 ] 12. [ B f2 ] [ B f6 ] 13. [ B c4 ]  [ B e6 ]  [ B d3 ]  [ d x e4 ]  [ B x e4 ]  [ Q x d1 + ]  [ R x d1 ]  [ R a7 ] , [ B x f6 ]  M: I would not have given away the pair of Bishops even though that weakened my pawn structure. Maybe 15. [ B e3 ] occupying the long diagonal.
 [ N f6 ]  [ N f3 ]  [ h6 ]  [ O-O ] , [ O-O ]  Just normal development the last few moves.
 [ B x e4 ]  [ d x e4 ] , [ Q c2 ]  Now [ e4 ] is hanging. If [ f5 ] [ e x f6 ] (ep) and my dsb comes alive.
 [ e x f4 ]  [ R x f4 ]  [ B h6 ]  [ R f1 ]  [ N f6 ] , [ N d5 ]  Nd5!! attacking [ N f6 ] take me plz!
 [ K a2 ]  [ K d3 ] , [ K b1 ]  His plan made sence now. Forced mate in 6
 [ g4 ]  [ R c8 ]  [ Q g2 ] , [ N g3 ]  ?? Chess blindness. I completly forgot about gxf5. The point here was that if [ Q x g3 ] then Bxd3. But like I say I forgot about gxf5. [ B d7 ] was the only way to go I think.
 [ b3 ]  [ B d7 ]  [ R c1 ]  [ R b8 ]  [ B e2 ]  [ a6 ]  [ a4 ]  [ N a7 ]  [ R a1 ]  [ Q c7 ]  [ O-O ]  [ b5 ]  [ a x b5 ]  [ a x b5 ]  [ Q c1 ]  [ R f c8 ] , [ e5 ]  this is the move
 [ R g2 ]  [ Q x g2 ] , [ Q x g2 + ]  And bam! Black's position has cracked badly I have an open file to his king.
 [ N f6 ]  [ e5 ]  [ N f d7 ]  [ B d3 ]  [ c5 ]  [ c3 ]  [ N c6 ] , [ N d f3 ]  ? I shouldn't of played that because I should of done Ne2.
 [ B e2 ]  [ N f6 ]  [ Q a4 ]  [ B d7 ] , [ Q b3 ]  Should have caught this but here is where I make a blunder and get behind early.
 [ Q e1 + ]  [ K h2 ]  [ Q e5 + ]  [ f4 ] , [ Q h8 ]  28. ..... [ Q h8 ] - the trade is forced because the Witch is pinned to her king!
 [ a4 ]  [ B h8 ]  [ R c1 ]  [ f6 ]  [ R b1 ]  [ f x g5 ] , [ K x g5 ]  44. [ K x g5 ] - pawn trade. Now the [ c3 ] pawn drops off. White can play [ R c1 ] skewering Fou Lenoir and my [ c4 ] knight but Fou Lenoir can move out of the skewer with a bishop fork on [ d2 ] winning the rook and no doubt that if I was white I would certainly wave the white flag!
 [ Q e2 ] , [ R f c8 ]  And still I think [ B g5 ] would be better for me......
 [ N g6 ] , [ e5 ]  Which of course I do... and in the process I handed over a knight in exchange for a pawn. Can I get a mulligan?
 [ B e2 ]  [ B c2 ] , [ B x c4 ]  Finally material equality though not for long and I now have a passed pawn too
 [ B x d4 ] , [ B b5 + ]  White's first priority should be to get Black's bishop off the a7-[ g1 ] diagonal so the best move here is 12 Nb5. Black will have at best a minimal edge after the bishop retreats to [ f6 ] or [ g7 ] (e.g. 12 ... B[ f6 ] 13 [ B e3 ] 0-0 14 [ R d1 ] [ B f5 ] 15 [ B e2 ] [ B e4 ] 16 0-0 [ N x d5 ] 17 [ B c4 ] [ e6 ] 18 [ B x a7 ] [ R x a7 ] 19 Nxa7) and White gets a bonus if Black falls into 12 ... Bc5? 13 Qc3.
 [ R b7 ]  [ N a3 ] , [ K e5 ]  regreful move 51.Rb8! (51...[ K c7 ] 52.Rb3!) forces [ B c8 ] which allows me to grab the pawn on g6.
 [ R g7 ] , [ Q f8 + ]  He saw mate was inevitable and resigned.
 [ c5 ]  [ e4 ]  [ N c6 ]  [ N g5 ]  [ g6 ] , [ Q f3 ]  threatens kamshaft mate
 [ R e2 e3 ] , [ B c4 ]  Black is trying to force an exchange but instead of allowing it white can now play the move that I talked about earlier. And that's the move that seals black fate once and for all.
 [ N c4 ]  [ R d8 ]  [ Q e6 ]  [ Q g5 ] , [ N e3 ]  A blunder although loss of some material appears inevitable.
 [ e5 ] , [ c3 ]  Preparing [ d4 ] and taking the game into quite an unusual branch of the Philladors
 [ B f5 ] , [ e3 ]  Reinforce my control on the center.
 [ B x e5 ] , [ f x e5 ]  Minor piece exchange. Whilst the knights are generally better than bishops in a closed position this is actually an inaccuracy from Black. I attack the knight with my pawn...
 [ B f1 ] , [ a4 ]  Attacking. My advantage is 3.56 pawns.
 [ d4 ]  [ N f6 ] , [ e3 ]  White avoids [ c4 ] which allows me to play my Budapest. This move always left me with uninteresting choices ([ f5 ] [ b6 ] [ c5 ] - this last one very interesting but again into very well-studied openings.
 [ B g7 ] , [ B e3 ]  preparing for the long rochade (castling) what brings his queen´s rook in. and gives white a strong pair of bishops which hold their position up to the 19th move.
 [ K d2 ]  [ N c x d5 ] , [ e x d5 ]  This exchange I believe came out in my favor. He lost his bishop and (eventually) pawn occupying center squares while my knight moved in on this precious real estate.
 [ d4 ]  [ N f6 ]  [ N f3 ]  [ d5 ]  [ h3 ]  [ B f5 ]  [ B f4 ] , [ e6 ]  The game started out innocently enough...
 [ B e3 ] , [ N g3 + ]  [ N g3 ] Kiss the rook goodbye.
 [ R a7 ]  [ h4 ]  [ N e4 ]  [ B x e4 ] , [ R d8 ]  Wait what? Knight for nothing?
 [ Q d5 + ] , [ R g5 ]  [ K h6 ] would have been better as we will see..
 [ d3 ] , [ N e7 ]  An uncalled for retreat. The direct 10. ... [ d6 ] was in order. [ d5 ] is playable as well although the result is an isolated King's pawn.
